name,divipola,pop_density_2015,pib_corriente_2014pr,pib_cons_2005_2014pr,expo_2015,impo_2015
Amazonas,91,0.6952354899,507,348,0.00967443,27342.6881429306
Antioquia,5,101.4949852229,101989,71448,4314.59974264,7690.7469070099
Arauca,81,11.0133092619,5086,2863,0.87165912,4410.86098424
Atlántico,8,22.5625737898,30180,21059,1383.05848304,4330.87988784
Bogotá,11,1385.6210585586,188084,133230,2706.07152954,3479.86796064
Bolívar,13,303.2867426284,29284,19843,1347.47741475,3097.22434487
Boyacá,15,90.4377506576,21601,14055,307.09893832,682.20941335
Caldas,17,161.8163032454,11088,7496,680.52760799,637.91172841
Caquetá,18,11.10538976,3512,2378,0.32399002,497.98976238
Casanare,85,10.6998655914,15970,9261,0.07720285,392.77533533
Cauca,19,12.1631977617,12438,8304,326.07225829,368.58922065
Cesar,20,60.2125736739,13828,10034,2077.36567569,190.18138075
Chocó,27,22.1124006018,2914,1722,0.79692172,169.38407267
Córdoba,23,19.9877298161,13015,9132,456.46274493,140.50372871
Cundinamarca,25,70.6172655927,37381,26822,1472.69147721,124.12277969
Guainía,94,37.1001550431,255,160,0.17314142,88.31031645
Guaviare,95,0.7759446315,663,380,0.1948595,0
Huila,41,5.5837104072,14084,8698,454.63772045,82.4456371
La Guajira,44,55.3903012279,7804,5685,2002.97892729,73.23192537
Magdalena,47,41.3057184751,9547,6529,525.16289552,71.28086235
Meta,50,14.7115315,38460,22815,1.84428497,69.593011
Nariño,52,28.8966574486,11639,7803,67.44562971,57.83577041
Norte de Santander,54,80.5350447871,12331,8335,193.94369062,24.03875057
Putumayo,86,54.4820976492,4344,2603,0.25331009,13.81258786
Quindío,63,187.1024390244,5750,3817,312.59853945,8.21008647
Risaralda,66,136.5483091787,11007,7516,590.27185809,7.75042309
ASAPYSC,88,21635.2954545455,1096,747,3.13183352,1.57560509
Santander,68,67.4944821037,58658,35529,226.92596916,1.24082505
Sucre,70,77.9989923972,5989,4102,16.33560079,1.06369356
Tolima,73,59.7687802394,16426,10746,157.06198125,0.71546161
Valle del Cauca,76,208.3868112014,70623,50710,1824.57851242,0.51900251
Vaupés,97,0.8065946245,199,145,0.2066284,0.03986402
Vichada,99,0.7180024341,400,276,0.07587978,0
